subject,repetition,window_id,start_sample,end_sample,label,gesture_id,gesture_name,action_ratio,n_rr,mean_hr_bpm,std_hr_bpm,mean_rr_ms,sdnn_ms,rmssd_ms,pnn50_pct
S09,2,25,120402,125402,REST,-1,REST,0.003,15,94.11,2.03,637.87,14.35,14.30,0.00
S09,2,26,125402,130402,GESTURE,5,Pointing Index,0.968,13,85.57,10.07,710.31,81.02,28.05,8.33
S09,2,27,130402,135402,GESTURE,5,Pointing Index,0.669,13,81.65,4.47,737.08,42.42,27.42,16.67
S09,2,28,135402,140402,GESTURE,5,Pointing Index,1.000,12,85.81,12.58,715.50,116.42,53.94,18.18
S09,2,29,140402,145402,REST,-1,REST,0.023,13,80.23,4.41,750.31,45.99,32.32,16.67
S09,2,30,145402,150402,GESTURE,2,Hand Open,0.950,12,78.75,4.28,764.17,42.79,30.63,9.09
S09,2,31,150402,155402,GESTURE,2,Hand Open,0.676,13,82.28,4.79,731.69,44.54,32.15,8.33
S09,2,32,155402,160402,GESTURE,2,Hand Open,1.000,12,78.93,6.22,764.50,58.19,28.38,0.00
S09,2,33,160402,165402,REST,-1,REST,0.034,12,77.82,4.11,773.17,42.25,36.75,18.18
S09,2,34,165402,170402,GESTURE,6,Cut Something,0.936,12,77.89,3.33,771.67,33.95,20.32,0.00
S09,2,35,170402,175402,GESTURE,6,Cut Something,0.678,12,79.42,2.73,756.33,26.87,19.28,0.00
S09,2,36,175402,180402,GESTURE,6,Cut Something,1.000,14,90.81,10.18,669.00,76.80,28.31,7.69
S09,2,37,180402,185402,REST,-1,REST,0.048,13,86.08,9.57,705.69,81.11,41.73,25.00
S09,2,38,185402,190402,GESTURE,9,Flexion of Thumb,0.927,13,82.66,11.40,740.15,108.20,60.89,33.33
S09,2,39,190402,195402,GESTURE,9,Flexion of Thumb,0.671,14,91.31,17.89,675.43,99.75,105.96,23.08
S09,2,40,195402,200402,GESTURE,9,Flexion of Thumb,1.000,11,75.78,3.52,793.45,38.11,27.39,0.00
S09,2,41,200402,205402,REST,-1,REST,0.042,13,81.46,3.78,738.31,38.56,29.31,8.33
S09,2,42,205402,210402,GESTURE,8,Tripod Grasp,0.931,12,81.72,4.87,736.83,45.57,33.14,18.18
S09,2,43,210402,215402,GESTURE,8,Tripod Grasp,0.666,12,78.72,4.96,765.17,49.19,36.08,18.18
S09,3,1,270,5270,REST,-1,REST,0.000,13,79.70,7.31,759.69,78.43,49.10,16.67
S09,3,2,5270,10270,REST,-1,REST,0.000,12,78.55,2.99,765.00,31.17,28.16,9.09
S09,3,3,10270,15270,REST,-1,REST,0.000,12,81.21,4.64,741.33,45.75,29.26,9.09
S09,3,4,15270,20270,REST,-1,REST,0.000,12,79.38,4.43,758.17,43.56,26.53,9.09
S09,3,5,20270,25270,REST,-1,REST,0.008,13,79.78,4.42,754.46,44.36,39.91,33.33
S09,3,6,25270,30270,GESTURE,5,Pointing Index,1.000,12,80.85,3.27,743.33,31.74,26.61,0.00
S09,3,7,30270,35270,GESTURE,5,Pointing Index,0.677,14,88.79,11.84,687.29,90.06,33.75,15.38
S09,3,8,35270,40270,GESTURE,5,Pointing Index,0.969,14,89.96,7.83,672.29,63.39,51.75,23.08
S09,3,9,40270,45270,REST,-1,REST,0.000,12,82.59,11.15,740.17,105.96,42.10,27.27
S09,3,10,45270,50270,GESTURE,3,Wrist Flexion,0.998,12,81.59,9.40,746.00,96.62,64.53,27.27
S09,3,11,50270,55270,GESTURE,3,Wrist Flexion,0.674,14,89.24,13.93,689.71,116.16,60.15,30.77
S09,3,12,55270,60270,GESTURE,3,Wrist Flexion,0.985,12,79.05,9.03,769.17,93.24,32.66,9.09
S09,3,13,60270,65270,REST,-1,REST,0.000,13,85.75,9.41,708.31,81.65,33.43,16.67
S09,3,14,65270,70270,GESTURE,2,Hand Open,0.987,13,88.87,30.67,716.31,124.76,171.27,25.00
S09,3,15,70270,75270,GESTURE,2,Hand Open,0.672,13,86.75,3.00,692.46,24.77,18.89,0.00
S09,3,16,75270,80270,GESTURE,2,Hand Open,0.957,13,83.59,5.12,720.62,48.13,23.90,8.33
S09,3,17,80270,85270,REST,-1,REST,0.008,13,82.58,3.41,727.85,31.27,25.02,0.00
S09,3,18,85270,90270,GESTURE,7,Flexion of Little Finger,1.000,12,80.45,3.42,747.17,33.06,25.89,0.00
S09,3,19,90270,95270,GESTURE,7,Flexion of Little Finger,0.674,14,88.97,4.78,676.43,39.99,34.18,15.38
S09,3,20,95270,100270,GESTURE,7,Flexion of Little Finger,0.973,12,78.42,4.46,767.67,47.25,24.61,9.09
S09,3,21,100270,105270,REST,-1,REST,0.000,11,76.43,3.54,786.73,37.30,25.96,0.00
S09,3,22,105270,110270,GESTURE,9,Flexion of Thumb,0.989,13,82.09,6.65,736.00,65.81,55.06,25.00
S09,3,23,110270,115270,GESTURE,9,Flexion of Thumb,0.679,12,80.98,7.23,747.00,71.50,37.33,9.09
S09,3,24,115270,120270,GESTURE,9,Flexion of Thumb,0.991,12,77.20,4.96,780.50,53.77,33.34,18.18
S09,3,25,120270,125270,REST,-1,REST,0.000,13,82.26,1.98,729.85,17.77,20.49,0.00
S09,3,26,125270,130270,GESTURE,10,Flexion of Middle Finger,0.978,13,85.57,6.84,705.85,60.74,33.15,16.67
S09,3,27,130270,135270,GESTURE,10,Flexion of Middle Finger,0.669,13,86.78,3.11,692.31,25.91,22.55,0.00
S09,3,28,135270,140270,GESTURE,10,Flexion of Middle Finger,1.000,14,87.22,1.58,688.14,13.00,15.39,0.00
S09,3,29,140270,145270,REST,-1,REST,0.005,13,82.18,4.50,732.31,41.36,25.92,0.00
S09,3,30,145270,150270,GESTURE,8,Tripod Grasp,0.959,12,79.13,7.77,765.00,71.97,42.78,36.36
S09,3,31,150270,155270,GESTURE,8,Tripod Grasp,0.674,14,92.31,5.08,652.00,37.64,27.50,7.69
S09,3,32,155270,160270,GESTURE,8,Tripod Grasp,1.000,13,87.23,4.48,689.69,37.88,28.44,8.33
S09,3,33,160270,165270,REST,-1,REST,0.022,14,86.93,6.01,693.57,50.84,29.37,7.69
S09,3,34,165270,170270,GESTURE,4,Wrist Extension,0.950,12,81.81,16.06,761.83,152.27,43.98,45.45
S09,3,35,170270,175270,GESTURE,4,Wrist Extension,0.673,12,78.23,4.23,769.17,43.15,24.55,0.00
S09,3,36,175270,180270,GESTURE,4,Wrist Extension,1.000,13,83.96,5.81,718.15,53.35,27.25,0.00
S09,3,37,180270,185270,REST,-1,REST,0.038,12,78.57,4.21,766.00,45.31,31.27,9.09
S09,3,38,185270,190270,GESTURE,6,Cut Something,0.935,13,86.06,8.56,704.15,73.27,42.45,16.67
S09,3,39,190270,195270,GESTURE,6,Cut Something,0.670,12,83.01,4.84,725.33,45.67,24.11,0.00
S09,3,40,195270,200270,GESTURE,6,Cut Something,1.000,13,79.83,3.36,752.92,32.88,26.08,0.00
S09,3,41,200270,205270,REST,-1,REST,0.055,12,79.83,3.42,753.00,34.78,40.22,27.27
S09,3,42,205270,210270,GESTURE,1,Hand Close,0.987,13,82.04,2.63,732.15,25.41,24.84,8.33
S09,3,43,210270,215270,GESTURE,1,Hand Close,0.675,13,83.02,4.62,724.92,41.60,22.24,0.00
S09,4,1,201,5201,REST,-1,REST,0.000,13,79.23,6.06,762.92,76.64,83.59,8.33
S09,4,2,5201,10201,REST,-1,REST,0.000,11,72.76,3.19,826.18,37.39,25.85,0.00
S09,4,3,10201,15201,REST,-1,REST,0.000,11,75.83,2.32,792.00,25.38,33.54,10.00
S09,4,4,15201,20201,REST,-1,REST,0.000,14,95.05,26.40,665.29,129.62,152.88,23.08
S09,4,5,20201,25201,REST,-1,REST,0.000,12,77.61,4.46,775.67,46.55,33.02,9.09
S09,4,6,25201,30201,GESTURE,2,Hand Open,0.993,12,77.43,5.38,778.67,56.91,32.32,18.18
S09,4,7,30201,35201,GESTURE,2,Hand Open,0.671,11,75.18,4.51,800.91,49.90,41.22,20.00
S09,4,8,35201,40201,GESTURE,2,Hand Open,0.986,12,75.44,5.22,799.17,58.26,39.21,18.18
S09,4,9,40201,45201,REST,-1,REST,0.000,13,84.81,7.01,712.46,63.47,33.37,16.67
S09,4,10,45201,50201,GESTURE,7,Flexion of Little Finger,0.983,13,84.26,4.10,713.85,37.73,24.49,0.00
S09,4,11,50201,55201,GESTURE,7,Flexion of Little Finger,1.000,13,82.21,4.73,732.31,45.50,35.94,16.67
S09,4,12,55201,60201,GESTURE,7,Flexion of Little Finger,1.000,11,76.47,1.86,785.09,20.07,26.68,10.00
S09,4,13,60201,65201,GESTURE,7,Flexion of Little Finger,1.000,13,82.19,3.51,731.38,32.80,28.69,8.33
S09,4,14,65201,70201,GESTURE,7,Flexion of Little Finger,1.000,12,78.84,2.01,761.50,20.38,16.81,0.00
S09,4,15,70201,75201,GESTURE,7,Flexion of Little Finger,1.000,14,85.95,3.78,699.43,32.67,23.98,0.00
S09,4,16,75201,80201,GESTURE,7,Flexion of Little Finger,1.000,13,82.66,6.50,730.46,60.51,70.90,25.00
S09,4,17,80201,85201,GESTURE,7,Flexion of Little Finger,1.000,11,72.89,2.97,824.55,35.51,33.16,10.00
S09,4,18,85201,90201,GESTURE,7,Flexion of Little Finger,1.000,12,77.92,3.74,771.83,38.95,29.45,9.09
S09,4,19,90201,95201,GESTURE,7,Flexion of Little Finger,1.000,12,82.71,4.81,728.00,46.78,40.20,18.18
S09,4,20,95201,100201,GESTURE,7,Flexion of Little Finger,1.000,12,76.13,3.40,789.67,35.84,28.86,9.09
S09,4,21,100201,105201,GESTURE,7,Flexion of Little Finger,1.000,12,79.19,8.89,767.50,93.63,145.30,36.36
S09,4,22,105201,110201,GESTURE,7,Flexion of Little Finger,1.000,12,79.88,5.06,754.17,50.30,34.56,27.27
S09,4,23,110201,115201,GESTURE,7,Flexion of Little Finger,1.000,12,75.93,1.92,790.67,20.90,28.99,18.18
S09,4,24,115201,120201,GESTURE,7,Flexion of Little Finger,1.000,12,79.90,5.56,754.67,55.44,28.05,9.09
S09,4,25,120201,125201,GESTURE,7,Flexion of Little Finger,0.842,13,86.56,10.81,705.08,99.45,36.27,8.33
S09,4,26,125201,130201,GESTURE,7,Flexion of Little Finger,0.838,13,87.08,7.78,694.62,65.92,37.48,25.00
S09,4,27,130201,135201,REST,-1,REST,0.393,12,79.03,7.39,764.67,60.96,89.40,18.18
S09,4,28,135201,140201,GESTURE,1,Hand Close,0.576,12,76.48,4.46,787.17,47.25,33.53,18.18
S09,4,29,140201,145201,GESTURE,1,Hand Close,0.753,15,97.31,7.27,620.13,49.03,25.90,14.29
S09,4,30,145201,150201,GESTURE,1,Hand Close,0.912,13,82.85,17.44,758.92,172.49,68.71,25.00
S09,4,31,150201,155201,REST,-1,REST,0.412,10,72.05,5.81,838.20,70.63,32.69,22.22
S09,4,32,155201,160201,GESTURE,10,Flexion of Middle Finger,0.555,12,77.38,3.33,776.83,35.66,31.00,18.18
S09,4,33,160201,165201,GESTURE,10,Flexion of Middle Finger,0.767,13,80.95,2.62,742.00,25.27,24.74,0.00
S09,4,34,165201,170201,GESTURE,10,Flexion of Middle Finger,0.903,12,79.71,2.75,753.67,27.89,25.89,0.00
S09,4,35,170201,175201,REST,-1,REST,0.430,12,78.23,2.93,768.00,29.51,19.67,0.00
S09,4,36,175201,180201,GESTURE,8,Tripod Grasp,0.540,12,79.30,2.73,757.50,27.38,28.16,9.09
S09,4,37,180201,185201,GESTURE,8,Tripod Grasp,0.789,13,80.82,3.36,743.69,32.68,29.52,8.33
S09,4,38,185201,190201,GESTURE,8,Tripod Grasp,0.880,13,85.46,5.95,705.38,49.96,29.22,0.00
S09,4,39,190201,195201,REST,-1,REST,0.452,12,79.20,5.13,760.67,49.74,22.43,0.00
S09,4,40,195201,200201,GESTURE,4,Wrist Extension,0.524,13,86.28,4.59,697.38,38.13,25.05,8.33
S09,4,41,200201,205201,GESTURE,4,Wrist Extension,0.801,13,80.77,5.03,745.85,49.79,33.70,8.33
S09,4,42,205201,210201,GESTURE,4,Wrist Extension,0.876,13,83.33,4.27,722.00,39.62,20.02,0.00
S09,4,43,210201,215201,REST,-1,REST,0.455,12,80.75,1.96,743.50,18.71,19.57,0.00
S09,4,44,215201,220201,GESTURE,9,Flexion of Thumb,0.513,13,80.99,1.84,741.23,17.54,13.55,0.00
S09,4,45,220201,225201,GESTURE,9,Flexion of Thumb,0.814,12,81.59,4.18,737.33,40.07,33.36,9.09
S09,4,46,225201,230201,GESTURE,9,Flexion of Thumb,0.856,13,84.36,7.60,716.92,65.72,31.28,8.33
S09,4,47,230201,235201,REST,-1,REST,0.476,12,75.76,4.41,794.67,47.50,36.40,18.18
S09,4,48,235201,240201,GESTURE,5,Pointing Index,0.502,12,77.80,4.34,773.67,45.90,31.90,9.09
S09,4,49,240201,245201,GESTURE,5,Pointing Index,0.825,12,78.96,2.20,760.50,22.13,20.66,0.00
S09,4,50,245201,250201,GESTURE,5,Pointing Index,0.849,12,78.43,3.31,766.33,33.39,30.60,9.09
S09,4,51,250201,255201,REST,-1,REST,0.487,12,82.84,4.23,726.17,39.19,31.65,9.09
S09,4,52,255201,260201,REST,-1,REST,0.478,13,79.11,3.19,759.69,31.35,23.87,8.33
S09,4,53,260201,265201,GESTURE,3,Wrist Flexion,0.853,12,80.44,2.54,746.67,24.44,20.33,0.00
S09,4,54,265201,270201,GESTURE,3,Wrist Flexion,0.817,12,80.80,4.30,744.67,41.21,25.58,9.09
S09,4,55,270201,275201,GESTURE,3,Wrist Flexion,0.519,14,85.33,4.08,704.86,36.30,26.35,0.00
S09,4,56,275201,280201,REST,-1,REST,0.452,12,81.52,3.18,737.17,30.48,17.98,0.00
S09,4,57,280201,285201,GESTURE,6,Cut Something,0.876,14,89.03,11.76,685.57,91.64,30.31,7.69
S09,4,58,285201,290201,GESTURE,6,Cut Something,0.797,12,77.68,5.36,776.17,57.04,40.12,18.18
S09,5,1,169,5169,REST,-1,REST,0.000,13,82.94,4.33,725.38,39.49,25.83,8.33
S09,5,2,5169,10169,REST,-1,REST,0.000,13,80.65,6.01,748.31,60.65,43.02,33.33
S09,5,3,10169,15169,REST,-1,REST,0.000,11,76.22,5.23,790.91,57.08,24.94,0.00
S09,5,4,15169,20169,REST,-1,REST,0.000,12,78.38,2.55,766.33,25.60,24.77,0.00
S09,5,5,20169,25169,REST,-1,REST,0.000,13,79.28,1.84,757.23,18.19,24.50,0.00
S09,5,6,25169,30169,GESTURE,7,Flexion of Little Finger,0.999,13,88.32,11.67,692.62,106.84,162.96,25.00
S09,5,7,30169,35169,GESTURE,7,Flexion of Little Finger,0.668,13,88.16,6.88,684.92,57.77,34.57,8.33
S09,5,8,35169,40169,GESTURE,7,Flexion of Little Finger,0.853,12,75.04,3.40,801.17,37.15,36.84,27.27
S09,5,9,40169,45169,REST,-1,REST,0.121,12,76.47,1.95,785.17,21.12,22.14,0.00
S09,5,10,45169,50169,GESTURE,4,Wrist Extension,1.000,12,79.15,4.22,760.17,41.62,32.33,18.18
S09,5,11,50169,55169,GESTURE,4,Wrist Extension,0.671,12,82.23,5.43,732.83,49.86,26.51,9.09
S09,5,12,55169,60169,GESTURE,4,Wrist Extension,0.874,14,88.43,6.18,681.86,49.90,23.76,0.00
S09,5,13,60169,65169,REST,-1,REST,0.101,16,104.14,12.87,586.25,84.83,48.08,13.33
S09,5,14,65169,70169,GESTURE,5,Pointing Index,1.000,14,90.10,7.76,671.43,66.33,29.94,7.69
S09,5,15,70169,75169,GESTURE,5,Pointing Index,0.669,12,82.62,8.59,734.00,78.46,54.86,36.36
S09,5,16,75169,80169,GESTURE,5,Pointing Index,0.887,12,78.10,3.62,770.00,39.83,24.62,9.09
S09,5,17,80169,85169,REST,-1,REST,0.076,11,73.28,2.66,819.82,31.58,27.98,0.00
S09,5,18,85169,90169,GESTURE,2,Hand Open,1.000,13,83.20,4.35,723.08,38.98,23.40,0.00
S09,5,19,90169,95169,GESTURE,2,Hand Open,0.673,13,83.30,5.14,723.08,47.73,27.70,8.33
S09,5,20,95169,100169,GESTURE,2,Hand Open,0.904,13,83.28,8.93,728.77,80.91,45.66,25.00
S09,5,21,100169,105169,REST,-1,REST,0.072,11,76.43,7.48,792.36,78.79,34.06,20.00
S09,5,22,105169,110169,GESTURE,10,Flexion of Middle Finger,1.000,12,77.74,3.02,773.00,32.38,33.72,18.18
S09,5,23,110169,115169,GESTURE,10,Flexion of Middle Finger,0.668,13,81.37,5.98,741.38,57.09,23.69,8.33
S09,5,24,115169,120169,GESTURE,10,Flexion of Middle Finger,0.917,12,79.33,1.75,756.67,17.32,17.02,0.00
